City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Inirida,CO,3.8653,-67.9239,77.49,88,48,2.06,scattered clouds
1,Polyarnyy,RU,69.1989,33.4478,37.89,99,100,6.87,overcast clouds
2,Chicoana,AR,-25.1009,-65.5331,61.05,74,6,3.42,clear sky
3,Whitehorse,CA,60.7161,-135.0538,57.97,41,100,19.57,overcast clouds
4,Edson,CA,53.5835,-116.4356,71.74,28,0,6.91,clear sky
5,Isafjordur,IS,66.0755,-23.124,41.29,93,97,11.32,overcast clouds
6,Queenstown,ZA,-31.8976,26.8753,49.32,90,100,2.15,light rain
7,Bogale,MM,16.2833,95.4,79.27,89,100,8.61,overcast clouds
8,Qaqortoq,GL,60.7167,-46.0333,31.82,87,84,8.63,broken clouds
9,Nema,RU,57.5067,50.5011,50.4,61,35,4.43,scattered clouds
10,Grytviken,GS,-54.2811,-36.5092,29.12,86,89,10.89,overcast clouds
11,Utrik,MH,11.2278,169.8474,81.03,80,96,15.55,overcast clouds
12,Chonchi,CL,-42.6128,-73.8092,55.11,99,100,1.97,overcast clouds
13,Port-Aux-Francais,TF,-49.35,70.2167,39.52,76,100,17.29,light rain
14,As Sulayyil,SA,20.4607,45.5779,84.45,18,2,6.38,clear sky
15,Margaret River,AU,-33.95,115.0667,60.13,74,30,14.94,scattered clouds
16,Tazovsky,RU,67.4667,78.7,-1.98,99,87,6.06,overcast clouds
17,Mikomeseng,GQ,2.1361,10.6132,70.11,99,67,0.83,light rain
18,Puerto Ayora,EC,-0.7393,-90.3518,85.96,92,32,5.01,scattered clouds
19,Jiagedaqi,CN,50.4167,124.1167,44.76,72,98,6.46,overcast clouds
20,Puerto Baquerizo Moreno,EC,-0.9,-89.6,79.79,94,75,9.22,light intensity drizzle rain
21,Iskateley,RU,67.6803,53.1512,33.39,99,100,7.78,overcast clouds
22,Ribeira Grande,PT,38.5167,-28.7,63.77,86,100,1.99,overcast clouds
23,Geraldton,AU,-28.7667,114.6,57.61,88,75,6.91,broken clouds
24,Hadibu,YE,12.65,54.0333,83.19,77,20,3.71,few clouds
25,Miles City,US,46.4083,-105.8406,58.17,77,100,21.85,overcast clouds
26,Hamilton,US,39.1834,-84.5333,72.59,88,100,11.5,mist
27,Waitangi,NZ,-43.9535,-176.5597,52.83,77,98,5.01,overcast clouds
28,Tokmak,UA,47.2514,35.7058,48.6,69,91,8.21,overcast clouds
29,Nar'Yan-Mar,RU,67.6713,53.087,33.53,99,100,8.01,overcast clouds
30,West Island,CC,-12.1568,96.8225,78.78,89,100,12.66,shower rain
31,Blackmans Bay,AU,-43.0167,147.3167,48.52,82,100,4.7,overcast clouds
32,Quatre Cocos,MU,-20.2078,57.7625,77.11,80,61,12.01,light rain
33,Avarua,CK,-21.2078,-159.775,82.45,74,75,23.02,broken clouds
34,Kodiak,US,57.79,-152.4072,45.91,76,100,14.97,moderate rain
35,Punta Arenas,CL,-53.15,-70.9167,35.71,69,0,9.22,clear sky
36,Ilulissat,GL,69.2167,-51.1,30.22,64,100,5.75,overcast clouds
37,Albany,US,42.6001,-73.9662,79.45,65,78,8.03,broken clouds
38,Guerrero Negro,MX,27.9769,-114.0611,64.33,63,16,20.8,few clouds
39,Dwarka,IN,22.2394,68.9678,83.08,76,0,11.83,clear sky
40,Yellowknife,CA,62.456,-114.3525,64.92,45,75,10.36,broken clouds
41,Decorah,US,43.3033,-91.7857,63.52,100,100,17.27,overcast clouds
42,Suoyarvi,RU,62.0833,32.35,47.71,85,58,6.8,broken clouds
43,Adamstown,PN,-25.066,-130.1015,72.41,64,100,21.74,overcast clouds
44,San Antonio De Pale,GQ,-1.4014,5.6325,82.58,80,75,12.12,broken clouds
45,Port Mathurin,MU,-19.6833,63.4167,77.07,79,23,15.97,light rain
46,Uliastay,MN,47.7417,96.8444,46.26,58,58,2.51,broken clouds
47,Acapulco De Juarez,MX,16.8634,-99.8901,87.62,62,75,3.44,broken clouds
48,Kapa'A,US,22.0752,-159.319,80.58,75,100,8.05,light rain
49,Puerto Natales,CL,-51.7236,-72.4875,38.64,93,98,3.13,overcast clouds
50,Lihue,US,21.9789,-159.3672,79.84,75,100,8.05,light rain
51,Wailua Homesteads,US,22.0669,-159.378,79.23,75,100,8.05,light rain
52,Nur-Sultan,KZ,51.1801,71.446,44.55,53,0,11.18,clear sky
53,Bredasdorp,ZA,-34.5322,20.0403,54.03,75,29,13.94,light rain
54,Jamestown,US,42.097,-79.2353,74.79,38,0,10.36,clear sky
55,Invercargill,NZ,-46.4,168.35,47.01,95,83,3.0,broken clouds
56,Bethel,US,41.3712,-73.414,84.29,23,0,8.05,clear sky
57,Kirakira,SB,-10.4544,161.9205,82.51,82,96,10.04,overcast clouds
58,Aver-O-Mar,PT,41.4078,-8.7812,59.07,72,0,11.5,clear sky
59,Flying Fish Cove,CX,-10.4217,105.6791,80.28,83,75,16.11,broken clouds
60,College,US,64.8569,-147.8028,64.09,36,40,6.91,scattered clouds
61,Kununurra,AU,-15.7667,128.7333,62.58,59,74,4.61,broken clouds
62,Enewetak,MH,11.3474,162.3373,82.13,82,35,16.08,scattered clouds
63,Pisco,PE,-13.7,-76.2167,71.65,73,75,4.61,broken clouds
64,Kayenta,US,36.7278,-110.2546,69.58,22,83,6.96,broken clouds
65,Narrabri,AU,-30.3167,149.7833,63.68,43,4,2.93,clear sky
66,Saipan,MP,15.1355,145.701,84.65,100,0,8.01,clear sky
67,Sesheke,ZM,-17.4759,24.2968,60.26,48,3,4.7,clear sky
68,Codrington,AU,-38.2667,141.9667,49.05,80,5,5.19,clear sky
69,Tosontsengel,MN,48.7567,98.2839,43.63,72,84,5.3,broken clouds
70,Talnakh,RU,69.4865,88.3972,-2.13,89,60,1.77,broken clouds
71,Udachny,RU,66.4167,112.4,26.46,92,100,14.54,light snow
72,Usinsk,RU,65.9939,57.5281,33.91,100,100,5.57,overcast clouds
73,Burang,CN,30.25,81.1667,28.11,54,3,0.85,clear sky
74,Kayangel,PW,8.0823,134.7173,83.19,75,29,5.06,scattered clouds
75,Taltal,CL,-25.4,-70.4833,63.41,79,24,1.92,few clouds
76,Badger,US,64.8,-147.5333,64.0,36,75,6.91,broken clouds
77,Arraial Do Cabo,BR,-22.9661,-42.0278,71.46,73,20,14.97,few clouds
78,Olinda,BR,-8.0089,-34.8553,82.13,65,20,6.91,few clouds
79,Antsiranana,MG,-12.2787,49.2917,75.2,86,23,10.71,few clouds
80,Sur,OM,22.5667,59.5289,90.54,44,0,14.14,clear sky
81,Toliara,MG,-23.35,43.6667,71.19,82,0,6.08,clear sky
82,Afaahiti,PF,-17.75,-149.2833,84.07,76,74,17.98,broken clouds
83,Lebu,CL,-37.6167,-73.65,56.26,98,100,6.87,overcast clouds
84,Kundiawa,PG,-6.0167,144.9667,72.03,80,62,0.89,broken clouds
85,Kanggye,KP,40.9695,126.5852,60.4,52,57,2.53,broken clouds
86,Haiku-Pauwela,US,20.9219,-156.3051,86.02,55,20,14.97,few clouds
87,Papatowai,NZ,-46.5619,169.4708,53.15,82,81,6.87,broken clouds
88,Mushie,CD,-3.0167,16.9,73.72,97,99,3.51,moderate rain
89,Hithadhoo,MV,-0.6,73.0833,82.58,76,100,13.82,overcast clouds
90,Bilibino,RU,68.0546,166.4372,21.54,92,100,6.49,snow
91,Pemba,MZ,-12.974,40.5178,79.5,89,20,4.61,few clouds
92,Tolanaro,MG,-25.0319,46.9987,73.47,88,40,4.61,scattered clouds
93,Mossel Bay,ZA,-34.1831,22.146,53.53,63,84,19.57,light rain
94,Kokoda,PG,-8.8785,147.7407,81.09,82,100,0.43,overcast clouds
95,Tobol,KZ,52.6844,62.5794,47.35,77,62,7.07,broken clouds
96,Powell,US,40.1578,-83.0752,78.21,73,75,6.91,light rain
97,Revelstoke,CA,50.9832,-118.2023,80.62,16,0,2.3,clear sky
98,Taoudenni,ML,22.6783,-3.9836,94.64,9,0,5.44,clear sky
99,Las Tablas,PA,7.7667,-80.2833,84.18,99,100,6.24,overcast clouds
100,Hotan,CN,37.0997,79.9269,64.92,9,100,2.44,overcast clouds
101,Menongue,AO,-14.6585,17.691,57.97,52,5,4.12,clear sky
102,Edinburgh Of The Seven Seas,SH,-37.0676,-12.3116,64.78,93,100,31.14,light rain
103,Urzhar,KZ,47.093,81.6294,62.38,50,35,3.02,scattered clouds
104,Uzgen,KG,40.7699,73.3007,61.09,78,99,5.46,overcast clouds
105,Beidao,CN,34.5686,105.8933,55.9,62,91,3.27,overcast clouds
106,Northam,GB,51.0333,-4.2167,54.61,79,59,9.98,broken clouds
